id,theme,subtheme,indicator,description,entity,period,value,unit,supporting_doc_link,comment
i94,Social,"Diversity, equity and inclusion",Pay gap analysis,Have you done a pay gap analysis between genders and ethnicity?,HQ,2023,True,True/False,,
i94,Social,"Diversity, equity and inclusion",Pay gap analysis,Have you done a pay gap analysis between genders and ethnicity?,HQ,2022,True,True/False,,
i95,Social,"Diversity, equity and inclusion",Diversity split of C-suite,What is the diversity split of your C-suite?,HQ,2022,NA,Text,,
i95,Social,"Diversity, equity and inclusion",Diversity split of C-suite,What is the diversity split of your C-suite?,HQ,2023,NA,Text,,
i96,Social,"Diversity, equity and inclusion",Number of women in the first decision-making body,"Please provide the number of women in the first decision-making body. Ex: Executive Board, Executive committee…",HQ,2022,5 Number,Number,,
i96,Social,"Diversity, equity and inclusion",Number of women in the first decision-making body,"Please provide the number of women in the first decision-making body. Ex: Executive Board, Executive committee…",HQ,2023,3 Number,Number,,
i97,Social,"Diversity, equity and inclusion",Number of women on the Executive or Management Committee,Please provide the number of women on the Executive or Management Committee,HQ,2023,3 Number,Number,,
i97,Social,"Diversity, equity and inclusion",Number of women on the Executive or Management Committee,Please provide the number of women on the Executive or Management Committee,HQ,2022,5 Number,Number,,
i98,Social,"Diversity, equity and inclusion",Percentage of employees trained on diversity and inclusion,,HQ,2023,100 %,Percentage,,
i99,Social,"Diversity, equity and inclusion","Percentage of the total workforce (all sites) having received training on diversity, discrimination or harassment",,HQ,2023,100 %,Percentage,,
